ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,225,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap starn
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,216,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""starl"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,215,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap starl
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,206,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""spriteFont"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,205,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap spriteFont
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,196,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Pen1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,195,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap Pen1
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,186,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Mblock"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,185,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap Mblock
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,176,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""lwimage1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,175,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap lwimage1
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,166,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""lwimage"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,165,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap lwimage
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,156,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""floorselector"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,155,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap floorselector
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,146,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""dwimage1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,145,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap dwimage1
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,136,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""dwimage"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,135,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap dwimage
